bike_id,times_used,duration,miles
26314,22.0,18025.0,57.579861111111114
26315,46.0,29932.0,95.61611111111111
26316,74.0,39181.0,125.16152777777782
26318,33.0,18357.0,58.640416666666674
26431,49.0,29987.0,95.79180555555554
27258,28.0,13983.0,44.66791666666666
28543,14.0,7598.0,24.27138888888889
28857,78.0,42367.0,135.33902777777774
28956,73.0,41876.0,133.77055555555557
29121,38.0,17412.0,55.62166666666668
29122,49.0,25648.0,81.93111111111112
29124,82.0,43819.0,139.97736111111112
29125,1.0,1085.0,3.4659722222222222
29126,44.0,15029.0,48.009305555555564
29127,49.0,26160.0,83.56666666666665
29197,25.0,10223.0,32.65680555555556
29199,49.0,21127.0,67.48902777777776
29200,21.0,19016.0,60.74555555555557
29201,60.0,31452.0,100.47166666666666
29202,9.0,2768.0,8.842222222222222
29203,65.0,27621.0,88.23375000000001
29204,51.0,194379.0,620.9329166666666
29205,61.0,37519.0,119.8523611111111
29206,28.0,10317.0,32.95708333333334
29208,58.0,47714.0,152.4197222222222
29211,76.0,71792.0,229.33555555555554
29213,28.0,25926.0,82.81916666666665
29214,47.0,30984.0,98.97666666666666
29215,83.0,465159.0,1485.924583333333
29217,59.0,39780.0,127.07500000000002
29218,65.0,33739.0,107.7773611111111
29219,94.0,55229.0,176.42597222222227
29220,55.0,26611.0,85.00736111111111
29221,46.0,23130.0,73.88749999999997
29222,34.0,18025.0,57.5798611111111
29223,42.0,18889.0,60.33986111111111
29224,23.0,10304.0,32.91555555555555
29225,42.0,47219.0,150.83847222222218
29226,22.0,8218.0,26.251944444444447
29227,17.0,8842.0,28.245277777777776
29228,7.0,3504.0,11.193333333333333
29229,30.0,15308.0,48.90055555555556
